dataset,pool_ratio,latent_dim,k,num_nodes,num_clusters,num_features,num_input_edges,num_latent_edges,dim_compression_ratio,edge_compression_ratio,node_compression_ratio,assignment_storage_bits,reconstruction_f1,bits_per_edge,latent_density
citeseer,0.5,16,3,3327,1664,3703,4552,3613,0.004320820955981636,0.7937170474516696,0.5001502855425308,36597.0,0.835804401878626,3.5099415603852697,0.002609704388305545
citeseer,0.25,16,3,3327,832,3703,4552,1691,0.004320820955981636,0.3714850615114236,0.2500751427712654,33270.0,0.8309561056409313,3.499809101885731,0.0048857019282877445
citeseer,0.125,16,3,3327,416,3703,4552,847,0.004320820955981636,0.18607205623901582,0.1250375713856327,29943.0,0.8164996840870115,3.325298455165173,0.009788739494979382
citeseer,0.0625,16,3,3327,208,3703,4552,419,0.004320820955981636,0.09204745166959578,0.06251878569281635,26616.0,0.85,2.988859260418075,0.019369453191757202
