dataset,pool_ratio,latent_dim,k,num_nodes,num_clusters,num_features,num_input_edges,num_latent_edges,dim_compression_ratio,edge_compression_ratio,node_compression_ratio,assignment_storage_bits,reconstruction_f1,bits_per_edge,latent_density
pubmed,0.5,128,1,19717,9858,500,44324,9856,0.256,0.22236260265319013,0.49997464117259216,276038.0,0.71732820994972,4.003222799866858,0.00020283975754864514
pubmed,0.25,128,1,19717,4929,500,44324,4927,0.256,0.1111587401859038,0.24998732058629608,256321.0,0.7243060076451834,4.616930988848564,0.0004055971803609282
pubmed,0.125,128,1,19717,2465,500,44324,2463,0.256,0.055568089522606265,0.12501901912055585,236604.0,0.7253357652130659,4.043170987749506,0.0008107007015496492
pubmed,0.0625,128,1,19717,1232,500,44324,1231,0.256,0.027772764190957495,0.062484150732870114,216887.0,0.6666666666666666,5.62320017396208,0.001622058916836977
