dataset,pool_ratio,latent_dim,k,num_nodes,num_clusters,num_features,num_input_edges,num_latent_edges,dim_compression_ratio,edge_compression_ratio,node_compression_ratio,assignment_storage_bits,reconstruction_f1,bits_per_edge,latent_density
cora,0.5,16,20,2708,1354,1433,5278,17190,0.011165387299371946,3.2569154982948088,0.5,29788.0,0.6991404011461319,1.9585162807378513,0.01875290460884571
cora,0.25,16,20,2708,677,1433,5278,8889,0.011165387299371946,1.6841606669192877,0.25,27080.0,0.6796329800982166,1.5700366377652186,0.03878873214125633
cora,0.125,16,20,2708,338,1433,5278,4525,0.011165387299371946,0.8573323228495642,0.12481536189069424,24372.0,0.7261304798066965,1.1551179824948121,0.07921642065048218
cora,0.0625,16,20,2708,169,1433,5278,2278,0.011165387299371946,0.43160287987874196,0.06240768094534712,21664.0,0.6852465406353537,1.1921944020005353,0.15951822698116302
